Party ID 1:,Party ID 2:,Party ID:,Total Number Of Works:,Member Name:,Work Title,ASCAP Work ID,Interested Parties,IPI Number,Interested Party Status,Role,Society,Own%,Collect%,Registration Date,Registration Status,Surveyed Work,ISWC Number,Work Licenced By ASCAP,Share Licenced By ASCAP
1596704,,1596704,414,MILLER HARVEY L,01 BETTER PLAN,893701310,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,25%,25%,12/07/2017,Accepted,N,T9232335954,Y,Y
1596704,,1596704,414,MILLER HARVEY L,01 BETTER PLAN,893701310,"RUSH, RAY",538407052,Identified Non-Authoritative,CA,,25%,25%,12/07/2017,Accepted,N,T9232335954,Y,N
1596704,,1596704,414,MILLER HARVEY L,01 BETTER PLAN,893701310,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,25%,0%,12/07/2017,Accepted,N,T9232335954,Y,
1596704,,1596704,414,MILLER HARVEY L,01 BETTER PLAN,893701310,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,25%,12/07/2017,Accepted,N,T9232335954,Y,Y
1596704,,1596704,414,MILLER HARVEY L,01 BETTER PLAN,893701310,UNKNOWN PUBLISHER,288936892,Identified Non-Authoritative,E,,25%,25%,12/07/2017,Accepted,N,T9232335954,Y,N
1596704,,1596704,414,MILLER HARVEY L,01 PIANO- 5B - 83.3,893701303,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,12/07/2017,Accepted,N,T9232335874,Y,Y
1596704,,1596704,414,MILLER HARVEY L,01 PIANO- 5B - 83.3,893701303,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,12/07/2017,Accepted,N,T9232335874,Y,
1596704,,1596704,414,MILLER HARVEY L,01 PIANO- 5B - 83.3,893701303,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,12/07/2017,Accepted,N,T9232335874,Y,Y
1596704,,1596704,414,MILLER HARVEY L,02 SOULFUL VINYL 3,893701304,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,12/07/2017,Accepted,N,T9232335896,Y,Y
1596704,,1596704,414,MILLER HARVEY L,02 SOULFUL VINYL 3,893701304,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,12/07/2017,Accepted,N,T9232335896,Y,
1596704,,1596704,414,MILLER HARVEY L,02 SOULFUL VINYL 3,893701304,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,12/07/2017,Accepted,N,T9232335896,Y,Y
1596704,,1596704,414,MILLER HARVEY L,03 PIANO - 11B.19,893701305,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,12/07/2017,Accepted,N,T9232335909,Y,Y
1596704,,1596704,414,MILLER HARVEY L,03 PIANO - 11B.19,893701305,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,12/07/2017,Accepted,N,T9232335909,Y,
1596704,,1596704,414,MILLER HARVEY L,03 PIANO - 11B.19,893701305,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,12/07/2017,Accepted,N,T9232335909,Y,Y
1596704,,1596704,414,MILLER HARVEY L,2 TURNTABLES AND A MICROPHONE,890803671,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,06/30/2016,Accepted,Y,T9194335701,Y,Y
1596704,,1596704,414,MILLER HARVEY L,2 TURNTABLES AND A MICROPHONE,890803671,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,06/30/2016,Accepted,Y,T9194335701,Y,
1596704,,1596704,414,MILLER HARVEY L,2 TURNTABLES AND A MICROPHONE,890803671,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,06/30/2016,Accepted,Y,T9194335701,Y,Y
1596704,,1596704,414,MILLER HARVEY L,45 DAVENGER,892959451,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,07/31/2017,Accepted,Y,T9221724410,Y,Y
1596704,,1596704,414,MILLER HARVEY L,45 DAVENGER,892959451,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,07/31/2017,Accepted,Y,T9221724410,Y,
1596704,,1596704,414,MILLER HARVEY L,45 DAVENGER,892959451,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,07/31/2017,Accepted,Y,T9221724410,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ACROSS THE LAND,893701323,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,12/07/2017,Accepted,Y,T9232336060,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ACROSS THE LAND,893701323,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,12/07/2017,Accepted,Y,T9232336060,Y,
1596704,,1596704,414,MILLER HARVEY L,ACROSS THE LAND,893701323,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,12/07/2017,Accepted,Y,T9232336060,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER DARK,890985395,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,08/04/2016,Accepted,N,T9196144260,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER DARK,890985395,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,08/04/2016,Accepted,N,T9196144260,Y,
1596704,,1596704,414,MILLER HARVEY L,AFTER DARK,890985395,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,08/04/2016,Accepted,N,T9196144260,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,"ANDREWS, JUSTIN PERRY",569679376,Identified Authoritative,CA,BMI,7.5%,7.5%,08/12/2014,Accepted,Y,T9152192002,Y,N
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,"MILLER, HARVEY L",348202968,Identified Non-Authoritative,CA,ASCAP,25%,25%,08/12/2014,Accepted,Y,T9152192002,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,"OLIVER, SHELTON EUGENE",524906649,Identified Authoritative,CA,ASCAP,17.5%,17.5%,08/12/2014,Accepted,Y,T9152192002,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,FASTASSMAN,348585814,Identified Non-Authoritative,E,ASCAP,25%,0%,08/12/2014,Accepted,Y,T9152192002,Y,
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,ROYNET MUSIC,339668123,Identified Non-Authoritative,AM,ASCAP,0%,25%,08/12/2014,Accepted,Y,T9152192002,Y,Y
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,IAMTAKEOVER MUSIC PUBLISHING,747044930,Identified Authoritative,E,BMI,7.5%,7.5%,08/12/2014,Accepted,Y,T9152192002,Y,N
1596704,,1596704,414,MILLER HARVEY L,AFTER HOURS,887354481,THIS IS A REY VISION MUSIC,699173880,Identified Authoritative,E,ASCAP,17.5%,17.5%,08/12/2014,Accepted,Y,T9152192002,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALIEN,890985480,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,08/04/2016,Accepted,Y,T9196145161,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALIEN,890985480,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,08/04/2016,Accepted,Y,T9196145161,Y,
1596704,,1596704,414,MILLER HARVEY L,ALIEN,890985480,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,08/04/2016,Accepted,Y,T9196145161,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL I EVER WANTED,890985396,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,08/04/2016,Accepted,Y,T9196144271,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL I EVER WANTED,890985396,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,08/04/2016,Accepted,Y,T9196144271,Y,
1596704,,1596704,414,MILLER HARVEY L,ALL I EVER WANTED,890985396,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,08/04/2016,Accepted,Y,T9196144271,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,"MILLER, HARVEY L",348202968,Identified Authoritative,C,ASCAP,17.5%,17.5%,08/02/2009,Accepted,Y,,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,WRITER UNKNOWN,,UnIdentified Non-Authoritative,C,,12.5%,12.5%,08/02/2009,Accepted,Y,,Y,N
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,"JENNINGS, SHAUDRE MARSHANE",484340941,Identified Non-Authoritative,A,ASCAP,7.5%,7.5%,08/02/2009,Accepted,Y,,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,"RUSH, ESZARION",,UnIdentified Authoritative,A,,12.5%,12.5%,08/02/2009,Accepted,Y,,Y,N
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,CRAYZ TALK,,UnIdentified Authoritative,E,,12.5%,12.5%,08/02/2009,Accepted,Y,,Y,N
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,17.5%,0%,08/02/2009,Accepted,Y,,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,17.5%,08/02/2009,Accepted,Y,,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME,314023811,PUBLISHER UNKNOWN,,UnIdentified Authoritative,E,,20%,20%,08/02/2009,Accepted,Y,,Y,N
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME (HOUSE REMIX),890195483,"MILLER, HARVEY L",348202968,Identified Authoritative,CA,ASCAP,50%,50%,03/14/2016,Accepted,Y,T9188537782,Y,Y
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME (HOUSE REMIX),890195483,FASTASSMAN,348585814,Identified Authoritative,E,ASCAP,50%,0%,03/14/2016,Accepted,Y,T9188537782,Y,
1596704,,1596704,414,MILLER HARVEY L,ALL OF ME (HOUSE REMIX),890195483,ROYNET MUSIC,339668123,Identified Authoritative,AM,ASCAP,0%,50%,03/14/2016,Accepted,Y,T9188537782,Y,Y
