date,listeners,streams,followers
2023-06-28,460607,593617,2665573
2023-06-27,443345,570565,2664940
2023-06-26,436348,560229,2664307
2023-06-25,417114,532854,2663721
2023-06-24,470515,602786,2663173
2023-06-23,486749,626250,2662556
2023-06-22,477257,614374,2661964
2023-06-21,479432,617066,2661354
2023-06-20,469608,606025,2660781
2023-06-19,447419,575546,2660195
2023-06-18,406872,521101,2659665
2023-06-17,487393,628914,2659113
2023-06-16,511255,661937,2658472
2023-06-15,495157,641226,2657849
2023-06-14,498128,644071,2657266
2023-06-13,497972,645460,2656634
2023-06-12,474960,612470,2656048
2023-06-11,433621,554294,2655480
2023-06-10,488192,628161,2654885
2023-06-09,511064,662942,2654298
2023-06-08,492269,634867,2653669
2023-06-07,490806,631696,2653093
2023-06-06,496048,635241,2652515
2023-06-05,478809,614276,2651960
2023-06-04,458283,581575,2651353
2023-06-03,515280,658169,2650759
2023-06-02,535127,687099,2650085
2023-06-01,500012,638749,2649445
2023-05-31,441428,568079,2648802
2023-05-30,425371,547899,2648163
2023-05-29,401698,513180,2647572
2023-05-28,401655,512176,2647045
2023-05-27,441073,565987,2646417
2023-05-26,475756,616160,2645804
2023-05-25,463131,602328,2645186
2023-05-24,455770,590210,2644586
2023-05-23,452062,586287,2643905
2023-05-22,429231,556875,2643318
2023-05-21,413434,529868,2642771
2023-05-20,450606,579390,2642121
2023-05-19,476813,619814,2641477
2023-05-18,457853,593340,2640779
2023-05-17,451143,581994,2640066
2023-05-16,453223,581164,2639460
2023-05-15,428641,548451,2638849
2023-05-14,395250,502264,2638282
2023-05-13,465828,594117,2637708
2023-05-12,476333,613650,2637007
2023-05-11,448814,577778,2636486
2023-05-10,457211,589307,2635798
2023-05-09,454359,586617,2635169
2023-05-08,429001,551360,2634534
2023-05-07,411707,522549,2633966
2023-05-06,469862,601618,2633336
2023-05-05,487077,628635,2632681
2023-05-04,472631,612464,2632003
2023-05-03,409315,530397,2631419
2023-05-02,393390,508845,2630739
2023-05-01,382245,493493,2630140
2023-04-30,368278,470650,2629574
2023-04-29,420566,538659,2628991
2023-04-28,436997,566440,2628340
2023-04-27,414084,539062,2627730
2023-04-26,413931,540628,2627104
2023-04-25,409762,534734,2626502
2023-04-24,389501,508236,2625869
2023-04-23,365175,468884,2625200
2023-04-22,413946,530029,2624316
2023-04-21,424233,546012,2623509
2023-04-20,413276,532141,2622762
2023-04-19,410064,526454,2622022
2023-04-18,398565,513296,2621262
2023-04-17,373407,478316,2620665
