song,listeners,streams,saves,release_date
"No Hands (feat. Roscoe Dash & Wale)",0,552147334,0,2010-09-06
"Hard in Da Paint",0,126863167,0,2010-10-04
"Grove St. Party (feat. Kebo Gotti)",0,80077685,0,2010-10-01
"15th and the 1st (feat. YG Hootie)",0,51952922,0,2011-08-05
"No Hands",0,29122576,0,2022-04-01
"Game On (feat. Good Charlotte) - From "Pixels - The Movie"",0,24458301,0,2015-06-03
"Round of Applause (feat. Drake)",0,28295482,0,2011-10-14
"50k (feat. T.I.) - Remix",0,21120123,0,2013-06-11
"For My Dawgs",0,16843187,0,2010-10-01
"O Let's Do It (feat. Cap)",0,11976560,0,2009-12-28
"50 K",0,10039158,0,2015-02-18
"Bricksquad (feat. Gudda Gudda)",0,10509609,0,2010-10-01
"Rooster in My Rari",0,10452567,0,2012-06-08
"Karma (feat. YG Hootie, Popa Smurf & Slim Dunkin)",0,9311521,0,2010-10-01
"Can't Slave Me (feat. DJ Whoo Kid, Wildfella & Arman Cekin)",0,7267220,0,2017-12-01
"Workin'",0,7148169,0,2015-08-18
"I Don't Really Care (feat. Trey Songz)",0,10793840,0,2012-03-23
"7 Days of the Week (feat. D Dash)",0,6676377,0,2013-10-22
"Snake in the Grass (feat. Cartier Kitten)",0,7348540,0,2010-10-01
"Rollin (feat. Gunplay)",0,5781240,0,2022-04-01
"Lurkin (feat. Plies)",0,6647831,0,2012-06-08
"Get Low (feat. Nicki Minaj, Tyga & Flo Rida)",0,8248440,0,2012-06-05
"TTG (Trained to Go) [feat. French Montana, YG Hootie, Joe Moses & Baby Bomb]",0,6165061,0,2010-10-01
"Triple F Outro (feat. Wooh Da Kid)",0,5525739,0,2012-06-08
"Bustin' at 'Em",0,6207183,0,2010-10-01
"50k (feat. Gucci Mane)",0,4413755,0,2018-01-19
"Not At All",0,4412015,0,2019-01-31
"Was My Dawg",0,4391941,0,2021-03-01
"Slave Ship (feat. Azizi Gibson)",0,4237219,0,2016-11-07
"Rotation (feat. Future)",0,4212381,0,2018-01-19
"Big Dawg",0,3801449,0,2021-03-01
"Fuck the Club Up (feat. Pastor Troy & Slim Dunkin)",0,4369951,0,2010-10-01
"Flava",0,3178366,0,2018-05-31
"Chris Paul John Wall (feat. Jimmy Rocket & Leiffy Luciano)",0,3115523,0,2018-05-31
"What U Movin (feat. Jimmy Rocket)",0,3108538,0,2018-05-31
"OVA (feat. DJ Whoo Kid, Offset & Ca$h Out)",0,3042413,0,2018-01-19
"O Let's Do It (feat. Diddy / Rick Ross / Gucci Mane) - Remix",0,3492014,0,2010-03-15
"Fist Pump (feat. B.o.B)",0,3301367,0,2012-06-08
"WFSU",0,2504770,0,2017-10-11
"Live by the Gun (feat. RA Diggs & Uncle Murda)",0,2945603,0,2010-10-01
"Brother's Keeper (feat. Wooh Da Kid)",0,2359548,0,2018-01-19
"Bloggers",0,2351817,0,2018-03-16
"Young N*****",0,4092667,0,2011-08-05
"Move That Cane (feat. French Montana)",0,2706572,0,2011-08-19
"Bang (feat. YG Hootie & Slim Dunkin)",0,2798567,0,2010-10-01
"I Don't Need Ya (feat. Skippa Da Flippa & Sancho)",0,2153968,0,2018-05-31
"Fuck This Industry",0,2343980,0,2010-10-01
