number,workTitle,workCode,alternativeTitle,creators,dealId,deliveryDate
1,BINGO,WW 008984609 00,,"Storch, Scott Spencer | Davis, Radric Delantic | Way, Deandre Cortez | Malphurs, Juaquin",753,
2,NO HANDS,WW 009891018 00,,"Johnson Jr, Jeffrey | Akintimehin, Olubowale Victor | Malphurs, Juaquin | Gholson, Christopher James",753,"Aug 20, 2010"
3,HARD IN DA PAINT,WW 009897527 00,HARD IN THE PAINT,"Malphurs, Juaquin | Lewis, Lexus",753,
4,BUSTIN' AT EM,WW 009911223 00,,"Lewis, Lexus | Malphurs, Juaquin | Luellen, Joshua",753,"Oct 22, 2010"
5,FUCK THIS INDUSTRY,WW 009918356 00,,"Lewis, Lexus | Malphurs, Juaquin",753,"Nov 24, 2010"
6,LIVE BY THE GUN,WW 009918357 00,,"Lewis, Lexus | Malphurs, Juaquin | GRANT, LEONARD | JOSEPH, LAMAR",753,"Nov 24, 2010"
7,TRAINED TO GO     (TTG),WW 009918358 00,,"BOMB, BABY | RAY, OMAR MAURICE | Malphurs, Juaquin | MOSES, JOE | Lewis, Lexus | Kharbouch, Karim | JOSEPH, LAMAR",753,"Nov 24, 2010"
8,GROVE ST. PARTY,WW 009931180 00,,"Lewis, Lexus | CHATMAN, BANKIVION | Malphurs, Juaquin",753,"Feb 08, 2011"
9,BANG,WW 009931203 00,,"Lewis, Lexus | JOSEPH, LAMAR | HAMILTON, MARIO | Malphurs, Juaquin",753,"Feb 08, 2011"
10,BRICKSQUAD,WW 009931205 00,,"Lewis, Lexus | Lilly, Carl | Malphurs, Juaquin",753,"Feb 08, 2011"
11,KARMA,WW 009931210 00,,"Unknown, Composer Author | HAMILTON, MARIO | Malphurs, Juaquin | JOSEPH, LAMAR | Lewis, Lexus",753,"Feb 08, 2011"
12,SNAKES IN THE GRASS,WW 009931211 00,,"Malphurs, Juaquin | CARTER, LAUREN | Lewis, Lexus",753,"Feb 08, 2011"
13,G CHECK,WW 009931214 00,,"Lewis, Lexus | MOSES, JOE | DEAL, BILLY | JOSEPH, LAMAR | Malphurs, Juaquin",753,"Feb 08, 2011"
14,THIS IS WHAT I DO,WW 009936620 00,,"Malphurs, Juaquin | Davis, Radric Delantic | WILLIAMS, OTIS | Gholson, Christopher James",753,"Feb 25, 2011"
15,PANCAKES,WW 009936626 00,,"Davis, Radric Delantic | Gholson, Christopher James | Smith, Premro | Malphurs, Juaquin",753,"Feb 25, 2011"
16,TRICK OR TREAT,WW 009936631 00,,"Davis, Radric Delantic | Malphurs, Juaquin | HAMILTON, MARIO | Malphurs, Nyquan",753,"Feb 25, 2011"
17,I'M THUGGIN,WW 009970812 00,,"Malphurs, Juaquin | McColister, Antoine | Lewis, Lexus | Khaled, Khaled",753,"Jul 14, 2011"
18,O LET'S DO IT     (REMIX),WW 009974789 00,,"Malphurs, Juaquin | WATSON, LEROY V. | Davis, Radric Delantic | Roberts, William Leonard | WINTERS, DONOVAN",753,"Jul 29, 2011"
19,FUCK THE CLUB UP,WW 009977996 00,,"Malphurs, Juaquin | HAMILTON, MARIO | TROY, MICAH | Luellen, Joshua",753,"Aug 16, 2011"
20,HOMIES,WW 009978001 00,,"Malphurs, Juaquin | CASERTA, NATHANIEL | JOSEPH, LAMAR | BENOIC, JOHN | HECHAVARRIA, JABARI",753,"Aug 16, 2011"
21,O LET'S DO IT,WW 009978006 00,,"WINTERS, DONOVAN | Scott, Tarrez | Malphurs, Juaquin",753,"Aug 16, 2011"
22,FOR MY DAWGS,WW 009978008 00,,"Malphurs, Juaquin | HERBERT, CEDRIC",753,"Aug 16, 2011"
23,"SMOKE, DRANK",WW 009978010 00,,"Malphurs, Juaquin | DEAL, BILLY | Unknown, Composer Author | PRIVOTT, D. | CHATMAN, BANKIVION | Antney, Joseph Kevin",753,"Aug 16, 2011"
24,"HANDS UP, LAY DOWN",WW 009981876 00,,"Malphurs, Juaquin | Mitchell, Carl Terrell | Lindley, Samuel C.",753,"Sep 01, 2011"
25,ROUND OF APPLAUSE,WW 009993077 00,,"Graham, Aubrey Drake | Luellen, Joshua | Malphurs, Juaquin | Lewis, Lexus",753,"Oct 10, 2011"
26,PACMAN,WW 010001967 00,,"Luellen, Joshua | Davis, Radric Delantic | Malphurs, Juaquin",753,"Nov 11, 2011"
27,YOUNG NIGGAS,WW 010001968 00,YOUNG NIGGAZ,"Malphurs, Juaquin | Davis, Radric Delantic | Luellen, Joshua",753,"Nov 11, 2011"
28,STONED,WW 010001969 00,,"Malphurs, Juaquin | DOUGLAS, LADAMON T. | Davis, Radric Delantic",753,"Nov 11, 2011"
29,SO MANY THINGS,WW 010001970 00,,"Malphurs, Juaquin | DOUGLAS, LADAMON T. | LYLE, ROBERT | Davis, Radric Delantic",753,"Nov 11, 2011"
30,SHE BE PUTTIN' ON,WW 010001971 00,,"Davis, Radric Delantic | Luellen, Joshua | Malphurs, Juaquin",753,"Nov 11, 2011"
31,15TH AND THE 1ST,WW 010001972 00,,"JOSEPH, LAMAR | Luellen, Joshua | Malphurs, Juaquin | Davis, Radric Delantic",753,"Nov 11, 2011"
32,FEED ME,WW 010001973 00,,"Malphurs, Juaquin | DAVIS, FRENCHIE | Davis, Radric Delantic | Luellen, Joshua",753,"Nov 11, 2011"
33,MUD MUSIK,WW 010001974 00,,"Luellen, Joshua | Malphurs, Juaquin | Epps, Tauheed | Davis, Radric Delantic",753,"Nov 11, 2011"
34,IN MY BUSINESS,WW 010001975 00,,"Luellen, Joshua | Malphurs, Juaquin | Hill, Rodney | Davis, Radric Delantic",753,"Nov 11, 2011"
35,SUICIDE HOMICIDE,WW 010001976 00,,"Malphurs, Juaquin | Malphurs, Nyquan | Davis, Radric Delantic | Luellen, Joshua",753,"Nov 11, 2011"
36,I DON'T SEE U,WW 010001977 00,I DON'T SEE YOU,"Luellen, Joshua | Malphurs, Juaquin | Davis, Radric Delantic | HECHAVARRIA, JABARI",753,"Nov 11, 2011"
37,FERRARI BOYZ,WW 010002170 00,,"Malphurs, Juaquin | Gholson, Christopher James | Davis, Radric Delantic",753,"Nov 14, 2011"
38,WHAT THE HELL,WW 010002171 00,,"Davis, Radric Delantic | Gholson, Christopher James | Malphurs, Juaquin | Hill, Rodney",753,"Nov 14, 2011"
39,TOO LOYAL,WW 010002172 00,,"Davis, Radric Delantic | Malphurs, Juaquin | HAMILTON, MARIO",753,"Nov 14, 2011"
40,GUN SOUNDS,WW 010008359 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Dec 07, 2011"
41,WILD BOY,WW 010016908 00,,"Malphurs, Juaquin | LANGFORD, DE'ANDRE | MINES, JARRETT | Luellen, Joshua | Baker, Richard Colson",753,"Jan 20, 2012"
42,I DON'T REALLY CARE,WW 010025880 00,,"Malphurs, Juaquin | STYLEZ, SKYY | Neverson, Tremaine Aldon | TAYLOR, TROY C. | SMITH, AARON JEROME",753,"Mar 15, 2012"
43,LIGHTS DOWN LOW,WW 010033449 00,,"Malphurs, Juaquin | Green, Brandon Michael",753,"Apr 06, 2012"
44,CANDY PAINT & GOLD TEETH,WW 010050020 00,CANDY PAINT & GOLD TEETH (FEAT. LUDACRIS & BUN B),"Bridges, Christopher Brian | Malphurs, Juaquin | Mays, Carlton | Fountain, Askia | Freeman, Bernard James | REDWINE, JON R",753,"Jun 08, 2012"
45,GET LOW,WW 010050021 00,,"Malphurs, Juaquin | MILLER, HARVEY L. | Stevenson, Michael | Maraj, Onika Tanya | Isaac, Breyan Stanley | Dillard, Tramar",753,"Jun 08, 2012"
46,ROOSTER IN MY RARI,WW 010051094 00,,"Hill, Gary Rafael | Malphurs, Juaquin",753,"Jun 14, 2012"
47,TRIPLE F INTRO,WW 010056304 00,INTRO,"Luellen, Joshua | Malphurs, Nyquan | Malphurs, Juaquin",753,"Jun 29, 2012"
48,CASH,WW 010056305 00,,"Malphurs, Nyquan | Luellen, Joshua | Malphurs, Juaquin",753,"Jun 29, 2012"
49,CHIN UP,WW 010056307 00,,"Malphurs, Juaquin | Luellen, Joshua | HAMILTON, MARIO",753,"Jun 29, 2012"
50,CLAP,WW 010056308 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jun 29, 2012"
51,TRIPLE F OUTRO,WW 010056309 00,,"Malphurs, Juaquin | MILLER, HARVEY L.",753,"Jun 29, 2012"
52,INKY,WW 010056310 00,,"Luellen, Joshua | Malphurs, Juaquin | Malphurs, Nyquan | HAMILTON, MARIO",753,"Jun 29, 2012"
53,U AIN'T BOUT THAT LIFE,WW 010056311 00,,"Malphurs, Juaquin | Luellen, Joshua | THOMAS, STAYVE | FREEMAN, CURTIS",753,"Jun 29, 2012"
54,WHITE REMY,WW 010056313 00,,"HAMILTON, MARIO | Malphurs, Juaquin | Luellen, Joshua | Malphurs, Nyquan",753,"Jun 29, 2012"
55,POWER OF MY PEN,WW 010056314 00,,"DEWAR, COLLIN ANTHONY | DEWAR, MICHAEL W. JR. | Malphurs, Juaquin",753,"Jun 29, 2012"
56,LURKIN,WW 010056319 00,,"Simmons, Bryan Lamar | Malphurs, Juaquin | Luellen, Joshua | Washington, Algernod",753,"Jun 29, 2012"
57,FIST PUMP,WW 010056320 00,,"Montgomery, Clarence | JONES, JAMIESON XAVIER | KING, KYLE | Malphurs, Juaquin | Simmons, Bobby Ray | HILL, STEPHEN | Luellen, Joshua",753,"Jun 29, 2012"
58,HOMERUN,WW 010056322 00,BARRY BONDS,"Malphurs, Juaquin | BENOIT, JOHN RODNEY | NESBIT, AUSTIN | JONES, GLORIA RICHETTA | SAWYER, PAMELA JOAN",753,"Jun 29, 2012"
59,FLEX,WW 010056323 00,FLEXIN,"Malphurs, Juaquin | HAMILTON, MARIO | Mattox, Lakeem | Woods, Donquez | Luellen, Joshua | LENERD, DEREZ | Duncan, Harold",753,"Jun 29, 2012"
60,EVERYTHING I LOVE,WW 010056324 00,,"Brooks, Rico | Orr, Mariel | Wilburn, Nayvadius Demun | UWAZUOKE, SONNY COREY | MCFETRIDGE, TRAVIS | Malphurs, Juaquin | Washington, Algernod",753,"Jun 29, 2012"
61,LET DEM GUNS BLAM,WW 010056325 00,LET THEM GUNS BLAM,"Williams, Robert Rihmeek | Malphurs, Juaquin | Luellen, Joshua",753,"Jul 02, 2012"
62,BREAK HER,WW 010069859 00,,"JOSEPH, LAMAR | Malphurs, Juaquin | Lewis, Ian Brandon | Davis, Radric Delantic",753,"Aug 13, 2012"
63,MY BLOCK,WW 010069860 00,,"Luellen, Joshua | Davis, Radric Delantic | Malphurs, Juaquin",753,"Aug 13, 2012"
64,HOOD RICH ANTHEM,WW 010085020 00,,"Davis, Radric Delantic | Hill, Gary Rafael | Giden, Mario Sentell | Malphurs, Juaquin | Epps, Tauheed | Wilburn, Nayvadius Demun",753,"Sep 28, 2012"
65,ALL YOU,WW 010095867 00,,"Raddon, Ryan | Singer-Vine, David | Hollowell-Dhar, Niles | Malphurs, Juaquin",753,"Nov 12, 2012"
66,CRAZY,WW 010127797 00,,"Malphurs, Juaquin | Davis, Radric Delantic | Gholson, Christopher James",753,"Mar 08, 2013"
67,ROLLY UP,WW 010127799 00,,"Malphurs, Juaquin | SCOOTER, YOUNG | Williams, Michael Len | Davis, Radric Delantic",753,"Mar 08, 2013"
68,FUCK SOMETHING,WW 010127858 00,,"Malphurs, Juaquin | TARENTINO, STACKS | Davis, Radric Delantic | Randle, Kirk Jerel | SCOOTER, YOUNG",753,"Mar 08, 2013"
69,SCREAM & SHOUT      (REMIX),WW 010166720 00,,"Hollis, Chauncey Alexander | Malphurs, Juaquin | Martens, Jef | WESLEY, JOHN | Carter, Dwayne | Adams, Will | Kouame, Jean Baptiste",753,"May 20, 2013"
70,I'MA HATA,WW 010167029 00,,"SIMMONS, BRYAN | Okonma, Tyler Gregory | SIMMONS, TYREE | LENARD, DEREZ | Malphurs, Juaquin",753,"Oct 02, 2012"
71,MURDA SOMETHING,WW 010189541 00,,"Mule, Michael | Malphurs, Juaquin | SCHEFFER, JAMES | De Boni, Isaac | Marzouca, Nikolas | BROWN, DAROLD | Butler, Richard Preston Jr.",753,"Aug 06, 2013"
72,7 DAYS OF THE WEEK,WW 010205395 00,,"SIMMONS, BRYAN | Malphurs, Juaquin | Luellen, Joshua | Jones, Darryl",753,"Oct 09, 2013"
73,ALPO,WW 010205396 00,,"Malphurs, Juaquin | Anderson, Stephen William",753,"Oct 09, 2013"
74,BIG HOMIE FLOCKA,WW 010205397 00,,"Malphurs, Juaquin | Earle, Eduardo",753,"Oct 09, 2013"
75,GOING OFF,WW 010205398 00,,"Anderson, Stephen William | Malphurs, Juaquin",753,"Oct 09, 2013"
76,RAINY DAYZ,WW 010205399 00,,"Malphurs, Juaquin | Anderson, Stephen William",753,"Oct 09, 2013"
77,ICE CREAM,WW 010205400 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Oct 09, 2013"
78,BRAGG,WW 010205401 00,,"Luellen, Joshua | Earle, Eduardo | Malphurs, Juaquin | Kharbouch, Karim",753,"Oct 09, 2013"
79,FUCK SHIT,WW 010205402 00,,"SIMMONS, BRYAN | Orr, Mariel | Malphurs, Juaquin | Luellen, Joshua | Malphurs, Nyquan",753,"Oct 09, 2013"
80,GREENLIGHT,WW 010205403 00,,"Simmons, Bryan Lamar | Luellen, Joshua | Kharbouch, Karim | PERSON, EDWARD | Malphurs, Juaquin",753,"Oct 09, 2013"
81,MATERIALISTIC,WW 010205404 00,,"Malphurs, Juaquin | OLSON, CHE | Holmes, London",753,"Oct 09, 2013"
82,OBITUARY,WW 010205405 00,,"Simmons, Bryan Lamar | Luellen, Joshua | Malphurs, Juaquin | Malphurs, Nyquan",753,"Oct 09, 2013"
83,POP THAT PUSSY,WW 010205406 00,,"SMITH, LAMAR | Holmes, London | Malphurs, Juaquin | COBB, CHAZ",753,"Oct 09, 2013"
84,ROWDY,WW 010205407 00,,"Malphurs, Juaquin | Wayne, Leland Tyler | COBB, CHAZ",753,"Oct 09, 2013"
85,TOOK OFF,WW 010205408 00,,"Simmons, Bryan Lamar | Malphurs, Juaquin | Luellen, Joshua",753,"Oct 09, 2013"
86,WILD OUT,WW 010219707 00,,"BORGER, YOSEF ASAF | Malphurs, Juaquin | YOUNG, PAIGE",753,"Nov 04, 2013"
