Track Title,Streams,Listeners,Saves,Release Date
No Hands (feat. Roscoe Dash & Wale),552147334,0,0,2010-09-06
Hard in Da Paint,126863167,0,0,2010-10-04
Grove St. Party (feat. Kebo Gotti),80077685,0,0,2010-10-01
15th and the 1st (feat. YG Hootie),51952922,0,0,2011-08-05
No Hands,29122576,0,0,2022-04-01
Round of Applause (feat. Drake),28295482,0,0,2011-10-14
Game On (feat. Good Charlotte) - From Pixels - The Movie,24458301,0,0,2015-06-03
50k (feat. T.I.) - Remix,21120123,0,0,2013-06-11
For My Dawgs,16843187,0,0,2010-10-01
O Let's Do It (feat. Cap),11976560,0,0,2009-12-28
