Work Title,ASCAP Work ID,ISWC Number,Registration Date,Total Interested Parties,Total Ownership %,Source Catalogs
01 BETTER PLAN,893701310,T9232335954,12/07/2017,10,0,harvey-writers; fastassman-publisher
01 PIANO- 5B - 83.3,893701303,T9232335874,12/07/2017,6,0,harvey-writers; fastassman-publisher
02 SOULFUL VINYL 3,893701304,T9232335896,12/07/2017,6,0,harvey-writers; fastassman-publisher
03 PIANO - 11B.19,893701305,T9232335909,12/07/2017,6,0,harvey-writers; fastassman-publisher
2 TURNTABLES AND A MICROPHONE,890803671,T9194335701,06/30/2016,6,0,harvey-writers; fastassman-publisher
45 DAVENGER,892959451,T9221724410,07/31/2017,6,0,harvey-writers; fastassman-publisher
ACROSS THE LAND,893701323,T9232336060,12/07/2017,6,0,harvey-writers; fastassman-publisher
AFTER DARK,890985395,T9196144260,08/04/2016,6,0,harvey-writers; fastassman-publisher
AFTER HOURS,887354481,T9152192002,08/12/2014,14,0,harvey-writers; fastassman-publisher
ALIEN,890985480,T9196145161,08/04/2016,6,0,harvey-writers; fastassman-publisher
ALL I EVER WANTED,890985396,T9196144271,08/04/2016,6,0,harvey-writers; fastassman-publisher
ALL OF ME,314023811,,08/02/2009,16,0,harvey-writers; fastassman-publisher
ALL OF ME (HOUSE REMIX),890195483,T9188537782,03/14/2016,12,0,harvey-writers; fastassman-publisher
ALL OF ME (SINGLE),890196914,T9188538081,03/14/2016,6,0,harvey-writers; fastassman-publisher
ALL OVER YOUR BODY,311363272,T3028192958,11/22/2004,30,0,harvey-writers; fastassman-publisher
ALONE,897365169,T9285588887,05/26/2019,20,0,harvey-writers; fastassman-publisher
AMERIKKA,897365274,T9285591222,05/26/2019,10,0,harvey-writers; fastassman-publisher
ANYONE KIT,890985442,T9196144760,08/04/2016,6,0,harvey-writers; fastassman-publisher
AROUND THE WORLD,890804198,T9194335916,06/30/2016,6,0,harvey-writers; fastassman-publisher
BASIC BOUNCE,890195464,T9188537555,03/14/2016,12,0,harvey-writers; fastassman-publisher
BATTLE,890985479,T9196145150,08/04/2016,6,0,harvey-writers; fastassman-publisher
BE FREE KIT,890985444,T9196144782,08/04/2016,6,0,harvey-writers; fastassman-publisher
BEAUTIFUL LADY,890196929,,03/14/2016,28,0,harvey-writers; fastassman-publisher
BEAUTIFUL LADY (RE-MIX),890196930,,03/14/2016,28,0,harvey-writers; fastassman-publisher
BED OF MONEY,889954481,T9183939506,01/22/2016,20,0,harvey-writers; fastassman-publisher
BEN-GOLD-STYLE,890195465,T9188537588,03/14/2016,12,0,harvey-writers; fastassman-publisher
BETTER PLAN,890803685,T9194335869,06/30/2016,6,0,harvey-writers; fastassman-publisher
BIG CITY,321357073,T9049373719,11/22/2004,20,0,harvey-writers; fastassman-publisher
BIG DADDY,915587793,T3104831003,03/13/2022,2,0,harvey-writers
BIG ROOM,890195466,T9188537599,03/14/2016,12,0,harvey-writers; fastassman-publisher
BIG ROOM HOUSE,890195469,T9188537635,03/14/2016,12,0,harvey-writers; fastassman-publisher
BILLY BOY,890985397,T9196144282,08/04/2016,6,0,harvey-writers; fastassman-publisher
BOTTLE SERVICE,889954553,T3015313136,01/22/2016,28,0,harvey-writers; fastassman-publisher
BOUNCY,890985458,T9196144953,08/04/2016,6,0,harvey-writers; fastassman-publisher
BOUT THE DISCO LIFE (FEAT SLEEPY BROWN),890195460,T9188537497,03/14/2016,12,0,harvey-writers; fastassman-publisher
BRASS IN YOUR FACE,890985366,T9196143972,08/04/2016,6,0,harvey-writers; fastassman-publisher
BREAK ME DOWN,897365166,T9285588854,05/26/2019,10,0,harvey-writers; fastassman-publisher
BREAKER BREAKER,897365272,T9285591200,05/26/2019,10,0,harvey-writers; fastassman-publisher
BREAKER BREAKER 2,914320525,T3081810068,12/12/2021,10,0,harvey-writers; fastassman-publisher
BRICKS,890985398,T9196144293,08/04/2016,6,0,harvey-writers; fastassman-publisher
BROKEN UP,890985399,T9196144306,08/04/2016,6,0,harvey-writers; fastassman-publisher
BURGER AND FRIES,890985400,T9196144317,08/04/2016,6,0,harvey-writers; fastassman-publisher
BUTTERFLY,890803677,T9194335790,06/30/2016,6,0,harvey-writers; fastassman-publisher
CALIFORNIA CHRISTMAS,893701309,T9232335943,12/07/2017,10,0,harvey-writers; fastassman-publisher
CAPTAIN JACK,890985367,T9196143983,08/04/2016,6,0,harvey-writers; fastassman-publisher
CHOPPIN THROUGH THE NIGHT,331595270,T9150669413,10/12/2004,2,0,harvey-writers
CHOPPIN' THROUGH THE NIGHT,331632890,T9310036294,11/22/2004,14,0,harvey-writers; fastassman-publisher
CHOPPIN THRU THE NIGHT,893668861,,12/06/2017,12,0,harvey-writers; fastassman-publisher
CHRIST 18,893701308,T9232335932,12/07/2017,6,0,harvey-writers; fastassman-publisher
CHRIST 23,893701299,T9232335829,12/07/2017,6,0,harvey-writers; fastassman-publisher
CHRISTMAS TIME IS FINALLY HERE,893701322,,12/07/2017,10,0,harvey-writers; fastassman-publisher
CITY LIGHTS,890985401,T9196144328,08/04/2016,6,0,harvey-writers; fastassman-publisher
CLIPPER,890985456,T9196144931,08/04/2016,6,0,harvey-writers; fastassman-publisher
CLOAK AND DAGGER,896834427,T9280411930,03/21/2019,5,0,harvey-writers
COLORS KIT,890985451,T9196144851,08/04/2016,6,0,harvey-writers; fastassman-publisher
COMBO!,890985368,T9196143994,08/04/2016,6,0,harvey-writers; fastassman-publisher
CONSTRUCTION KIT,890985365,T9196143961,08/04/2016,6,0,harvey-writers; fastassman-publisher
CRY,890803672,T9194335712,06/30/2016,6,0,harvey-writers; fastassman-publisher
DANCE WITH ME BABY,890195457,T9188537453,03/14/2016,12,0,harvey-writers; fastassman-publisher
DEAD CAT,890195467,T9188537613,03/14/2016,12,0,harvey-writers; fastassman-publisher
DEEP POCKETS,890985402,T9196144339,08/04/2016,6,0,harvey-writers; fastassman-publisher
DESCENT,890985403,T9196144340,08/04/2016,6,0,harvey-writers; fastassman-publisher
DIAMONDS,890985455,T9196144920,08/04/2016,6,0,harvey-writers; fastassman-publisher
DIRTY WINE,892630844,T9217263177,05/30/2017,10,0,harvey-writers; fastassman-publisher
DO YOU STILL LOVE ME (FEAT SLEEPY BROWN),890195459,T9188537486,03/14/2016,12,0,harvey-writers; fastassman-publisher
DOWN WITH ME,890985404,T9196144362,08/04/2016,6,0,harvey-writers; fastassman-publisher
DR FEEL,890985405,T9196144373,08/04/2016,6,0,harvey-writers; fastassman-publisher
DRINKING PARTNER (FEAT MUPHY LEE),890195484,T9188537793,03/14/2016,12,0,harvey-writers; fastassman-publisher
DRINKING PARTNER PEPSI COLA,890985482,T9196145172,08/04/2016,6,0,harvey-writers; fastassman-publisher
DROP THE BASS ON EM,890195471,T9188537668,03/14/2016,12,0,harvey-writers; fastassman-publisher
DUCK DANCE,890985406,T9196144384,08/04/2016,6,0,harvey-writers; fastassman-publisher
DUKE,890985407,T9196144408,08/04/2016,6,0,harvey-writers; fastassman-publisher
ECLIPSE,890985369,T9196144000,08/04/2016,6,0,harvey-writers; fastassman-publisher
ENJOY THE MUSIC,890195455,T9188537420,03/14/2016,12,0,harvey-writers; fastassman-publisher
ESSENCE,890985408,T9196144419,08/04/2016,6,0,harvey-writers; fastassman-publisher
ETHEREAL,890985409,T9196144431,08/04/2016,6,0,harvey-writers; fastassman-publisher
EVERYDAY ALLDAY,352268030,,08/06/2009,16,0,harvey-writers; fastassman-publisher
EVERYDAY FEELS LIKE CHRISTMAS,893701324,T9232336082,12/07/2017,8,0,harvey-writers; fastassman-publisher
EVERYDAY IS CHRISTMAS,893701306,T9232335910,12/07/2017,10,0,harvey-writers; fastassman-publisher
F.O.M.F.,897365168,T9285588876,05/26/2019,10,0,harvey-writers; fastassman-publisher
FALL DOWN,362045056,T0732149675,11/09/2007,6,0,harvey-writers; fastassman-publisher
FARFISA,890985410,T9196144442,08/04/2016,6,0,harvey-writers; fastassman-publisher
FAST DISTANCE,890195472,T9188537679,03/14/2016,12,0,harvey-writers; fastassman-publisher
FASTER,890195473,T9188537680,03/14/2016,12,0,harvey-writers; fastassman-publisher
FLAIR WALK,891785088,T9208903724,01/18/2017,10,0,harvey-writers
FLORENCE N' NORM,890985411,T9196144453,08/04/2016,6,0,harvey-writers; fastassman-publisher
FOREVER & EVER,911481018,T9029201874,04/21/2021,8,0,harvey-writers
FOREVER AND EVER,361785553,T9148763762,04/04/2007,40,0,harvey-writers; fastassman-publisher
FOREVER KIT,890985447,T9196144817,08/04/2016,6,0,harvey-writers; fastassman-publisher
FREAK,890985370,T9196144011,08/04/2016,6,0,harvey-writers; fastassman-publisher
FU*K & SMOKE (FEAT MURPHY LEE),890195485,T9188537806,03/14/2016,12,0,harvey-writers; fastassman-publisher
FUCK WIT ME,893225872,T9224972398,09/19/2017,12,0,harvey-writers; fastassman-publisher
FUNK HYPNOTIZED,890985371,T9196144022,08/04/2016,6,0,harvey-writers; fastassman-publisher
GANGSTA NERD (CLEAN),890195487,T9188537828,03/14/2016,12,0,harvey-writers; fastassman-publisher
GANGSTA NERD (EXPLICIT),890195486,T9188537817,03/14/2016,12,0,harvey-writers; fastassman-publisher
GANGSTA NERD (FEAT WACKA FLOCKA),890195488,T9188537839,03/14/2016,12,0,harvey-writers; fastassman-publisher
GET BETTER (DOES IT EVER),890803687,T9194335881,06/30/2016,6,0,harvey-writers; fastassman-publisher
GET BY,888388920,,03/12/2015,20,0,harvey-writers; fastassman-publisher
GET LOW,884055969,T9136003720,05/17/2012,80,0,harvey-writers; fastassman-publisher
GET LOW (FEAT. NICKI MINAJ, TYGA & FLO RIDA),895379790,,08/20/2018,24,0,harvey-writers; fastassman-publisher
GET LOW (LIKE A LAMBO),372436132,,07/16/2009,10,0,harvey-writers; fastassman-publisher
GET OVER,908598800,T3047629078,07/07/2020,20,0,harvey-writers; fastassman-publisher
GETAWAY KIT,890985450,T9196144840,08/04/2016,6,0,harvey-writers; fastassman-publisher
GOOD LOVE KIT,890985448,T9196144828,08/04/2016,6,0,harvey-writers; fastassman-publisher
GOOD MORNING,890803678,T9194335803,06/30/2016,6,0,harvey-writers; fastassman-publisher
GOOD NIGHT,372265577,,04/18/2009,22,0,harvey-writers; fastassman-publisher
GOOD OR BAD,890803673,T9194335723,06/30/2016,6,0,harvey-writers; fastassman-publisher
GOON MARCH,897114631,T9282642175,04/08/2019,6,0,harvey-writers; fastassman-publisher
GREAT DAY,890803679,T9194335814,06/30/2016,6,0,harvey-writers; fastassman-publisher
GREATER,890803686,T9194335870,06/30/2016,6,0,harvey-writers; fastassman-publisher
GRINDIN,370915912,T9048592592,05/06/2005,34,0,harvey-writers; fastassman-publisher
GRINDIN FEAT. BONECRUSHER,370823959,,11/22/2004,26,0,harvey-writers; fastassman-publisher
GRITS AND GRAVY,890985412,T9196144464,08/04/2016,6,0,harvey-writers; fastassman-publisher
GROOVE ONE,891668433,T9203962827,12/19/2016,6,0,harvey-writers; fastassman-publisher
GROOVIN HIGH,890985413,T9196144475,08/04/2016,6,0,harvey-writers; fastassman-publisher
GUITAR,890985461,T9196144986,08/04/2016,6,0,harvey-writers; fastassman-publisher
HEAVEN,891268109,T9198849284,09/27/2016,12,0,harvey-writers; fastassman-publisher
HERE I AM,893701318,T9232336037,12/07/2017,6,0,harvey-writers; fastassman-publisher
HEROIN MONEY,892959450,T9221724409,07/31/2017,6,0,harvey-writers; fastassman-publisher
HIGH AND LOW,897114838,,04/08/2019,10,0,harvey-writers; fastassman-publisher
HIGH LOW,381053396,,11/22/2004,18,0,harvey-writers; fastassman-publisher
HOLD YOUR FIRE,890804199,T9194335927,06/30/2016,6,0,harvey-writers; fastassman-publisher
HOOK ME UP,890985414,T9196144486,08/04/2016,6,0,harvey-writers; fastassman-publisher
HOT!,382960332,T3033985201,07/16/2009,22,0,harvey-writers; fastassman-publisher
HOTT,382815472,,04/18/2009,20,0,harvey-writers; fastassman-publisher
HOZ,890985462,T9196144997,08/04/2016,6,0,harvey-writers; fastassman-publisher
HYPSTA,890985372,T9196144033,08/04/2016,6,0,harvey-writers; fastassman-publisher
I AM ALIVE,889954480,,01/22/2016,24,0,harvey-writers; fastassman-publisher
I CAN DO ANYTHING,883762453,,02/08/2012,22,0,harvey-writers; fastassman-publisher
I DO THIS,392212550,T0728884487,01/24/2007,26,0,harvey-writers; fastassman-publisher
I MAKE IT LOOK EASY (CLEAN),929904293,,04/15/2025,4,0,harvey-writers
I MAKE IT LOOK EASY (EXPLICIT),929904867,,04/15/2025,4,0,harvey-writers
I TOLD YA,888388933,,03/12/2015,39,0,harvey-writers; fastassman-publisher
I WANNA JAM,890195461,T9188537500,03/14/2016,12,0,harvey-writers; fastassman-publisher
I'M COMING,893701321,T9232336048,12/07/2017,12,0,harvey-writers; fastassman-publisher
